published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,38973090,null,"Fluoride-ion conversion alloy for fluoride-ion batteries",null,"[Nakayama\, K.,Ishikawa\, R.,Tojigamori\, T.,Miki\, H.,Iba\, H.,Shibata\, N.,Ikuhara\, Y.]",[corresponding],null,null,null,"Royal Society of Chemistry ({RSC})",2022,null,"Journal of Materials Chemistry A",10,7,null,null,null,true,null,scientific_journal,null,null,10.1039/d1ta09324j,"[2050-7496,2050-7488]",null,http://www.scopus.com/inward/record.url?eid=2-s2.0-85124935194&partnerID=MN8TOARS,null,false,disclosed
insert,merge,null,33928364,null,"Flexoelectric nanodomains in rare-earth iron garnet thin films under strain gradient",null,"[Hiroyasu Yamahara,Bin Feng,Munetoshi Seki,Masaki Adachi,Md Shamim Sarker,Takahito Takeda,Masaki Kobayashi,Ryo Ishikawa,Yuichi Ikuhara,Yasuo Cho,Hitoshi Tabata]",null,null,"<title>Abstract</title>Flexoelectricity is a universal property associated with dielectric materials, wherein they exhibit remanent polarization induced by strain gradient. Rare-earth iron garnets, <italic>R</italic><sub>3</sub>Fe<sub>5</sub>O<sub>12</sub>, are ferrimagnetic insulators with useful magnetic properties. However, they are unlikely to show remanent dielectric polarization because of their centrosymmetric structure. Here, to induce flexoelectricity, we investigate various rare-earth iron-garnet thin films deposited on lattice-mismatched substrates. Atomic-resolution scanning transmission electron microscopy demonstrates the presence of 15 nm-thick strain gradients in Sm<sub>3</sub>Fe<sub>5</sub>O<sub>12</sub> films between epitaxially strained tetragonal and relaxed cubic structures. Furthermore, negatively polarized nanodomains are imaged by scanning nonlinear dielectric microscopy. It suggests a generation of flexoelectricity, where the polarization points down toward the substrate in the out-of-plane direction. X-ray magnetic circular dichroism demonstrates hysteresis with a large coercive field originating from the strain-gradient layer. We believe that our study will pave the way for achieving dielectric polarization even in nonpolar centrosymmetric materials by strain-gradient engineering.",null,"Springer Science and Business Media LLC",2021-09-16,null,"Communications Materials",2,1,95,null,eng,true,null,scientific_journal,null,null,10.1038/s43246-021-00199-y,null,2662-4443,https://www.nature.com/articles/s43246-021-00199-y.pdf,https://www.nature.com/articles/s43246-021-00199-y,false,disclosed
insert,merge,null,33928363,null,"Atomistic Origin of Li-Ion Conductivity Reduction at (Li3xLa2/3–x)TiO3 Grain Boundary",null,"[Shun Sasano,Ryo Ishikawa,Gabriel Sánchez-Santolino,Hiromichi Ohta,Naoya Shibata,Yuichi Ikuhara]",null,null,"Lithium lanthanum titanate (LLTO) is one of the excellent candidates for an electrolyte in the all-solid-state Li-ion battery, owing to the high Li-ion conductivity in the bullc However, the Li-ion conductivity at the grain boundary (GB) is largely reduced, and it is therefore important to reveal the origin of Li-ion conductivity reduction at the GB. Here, by using atomic-resolution scanning transmission electron microscopy combined with atomic force microscopy, we investigate the charge states, Li-ion conductivities, atomic and electronic structures at the LLTO Sigma 5 and Sigma 13 GBs. Although the Sigma 5 GB has no significant influence on Li-ion conductivity, the Sigma 13 GB shows the evident reduction of Li-ion conductivity. We further elucidate that the Sigma 13 GB is positively charged by the formation of oxygen vacancies at the GB. Such a positive charge would form the Li-ion depletion layers adjacent to the GB, which causes the significant reduction of Li-ion conductivity.",null,"American Chemical Society (ACS)",2021-07-28,null,"Nano Letters",21,14,6282,6288,eng,true,null,scientific_journal,null,null,10.1021/acs.nanolett.1c02174,1530-6984,1530-6992,https://pubs.acs.org/doi/pdf/10.1021/acs.nanolett.1c02174,null,false,disclosed
insert,merge,null,31994627,null,"Direct imaging of atomistic grain boundary migration",null,"[Jiake Wei,Bin Feng,Ryo Ishikawa,Tatsuya Yokoi,Katsuyuki Matsunaga,Naoya Shibata,Yuichi Ikuhara]",null,null,"Grain boundary (GB) migration plays an important role in modifying the microstructures and the related properties of polycrystalline materials, and is governed by the atomistic mechanism by which the atoms are displaced from one grain to another. Although such an atomistic mechanism has been intensively investigated, it is still experimentally unclear as to how the GB migration proceeds at the atomic scale. With the aid of high-energy electron-beam irradiation in atomic-resolution scanning transmission electron microscopy, we controllably triggered the GB migration in alpha-Al2O3 and directly visualized the atomistic GB migration as a stop motion movie. It was revealed that the GB migration proceeds by the cooperative shuffling of atoms on GB ledges along specific routes, passing through several different stable and metastable GB structures with low energies. We demonstrated that GB migration could be facilitated by the GB structural transformations between these low-energy structures.The atomic process of grain boundary migration has been directly observed by scanning transmission electron microscopy, revealing transformations between different stable or metastable grain boundary structures.",null,"Springer Science and Business Media LLC",2021-07-14,null,"Nature Materials",20,7,951,955,eng,true,null,scientific_journal,null,null,10.1038/s41563-020-00879-z,1476-1122,1476-4660,http://www.nature.com/articles/s41563-020-00879-z.pdf,http://www.nature.com/articles/s41563-020-00879-z,false,disclosed
insert,merge,null,33928362,null,"Two-Dimensional Room-Temperature Giant Antiferrodistortive SrTiO3 at a Grain Boundary",null,"[Bo Han,Ruixue Zhu,Xiaomei Li,Mei Wu,Ryo Ishikawa,Bin Feng,Xuedong Bai,Yuichi Ikuhara,Peng Gao]",null,null,null,null,"American Physical Society (APS)",2021-06-04,null,"Physical Review Letters",126,22,null,null,null,true,null,scientific_journal,null,null,10.1103/PhysRevLett.126.225702,0031-9007,1079-7114,https://link.aps.org/article/10.1103/PhysRevLett.126.225702,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevLett.126.225702/fulltext,false,disclosed
insert,merge,null,33928361,null,"Atomic-Resolution Topographic Imaging of Crystal Surfaces",null,"[Ryo Ishikawa,Riku Tanaka,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,"American Chemical Society ({ACS})",2021-05-25,null,"ACS Nano",15,5,9186,9193,null,true,null,scientific_journal,null,null,10.1021/acsnano.1c02907,1936-0851,1936-086X,https://pubs.acs.org/doi/pdf/10.1021/acsnano.1c02907,null,false,disclosed
insert,merge,null,32225362,null,"Anataselike Grain Boundary Structure in Rutile Titanium Dioxide",null,"[Georg Schusteritsch,Ryo Ishikawa,Abdul Razak Elmaslmane,Kazutoshi Inoue,Keith P. McKenna,Yuichi Ikuhara,Chris J. Pickard]",null,null,"The formation of nanoscale phases at grain boundaries in polycrystalline materials has attracted much attention, since it offers a route toward targeted and controlled design of interface properties. However, understanding structure-property relationships at these complex interfacial defects is hampered by the great challenge of accurately determining their atomic structure. Here, we combine advanced electron microscopy together with ab initio random structure searching to determine the atomic structure of an experimentally fabricated ς13 (221) [11¯ 0] grain boundary in rutile TiO2. Through careful analysis of the atomic structure and complementary electron energy-loss spectroscopy analysis we identify the existence of a unique nanoscale phase at the grain boundary with striking similarities to the bulk anatase crystal structure. Our results show a path to embed nanoscale anatase into rutile TiO2 and showcase how the atomic structure of even complex internal interfaces can be accurately determined using a combined theoretical and experimental approach.",null,"American Chemical Society ({ACS})",2021-04-14,null,"Nano Letters",21,7,2745,2751,null,true,null,scientific_journal,null,null,10.1021/acs.nanolett.0c04564,1530-6984,1530-6992,null,null,false,disclosed
insert,merge,null,32225363,null,"Direct visualization of anionic electrons in an electride reveals inhomogeneities",null,"[Qiang Zheng,Tianli Feng,Jordan A. Hachtel,Ryo Ishikawa,Yongqiang Cheng,Luke Daemen,Jie Xing,Juan Carlos Idrobo,Jiaqiang Yan,Naoya Shibata,Yuichi Ikuhara,Brian C. Sales,Sokrates T. Pantelides,Miaofang Chi]",null,null,"Electrides are an unusual family of materials that feature loosely bonded electrons that occupy special interstitial sites and serve as anions. They are attracting increasing attention because of their wide range of exotic physical and chemical properties. Despite the critical role of the anionic electrons in inducing these properties, their presence has not been directly observed experimentally. Here, we visualize the columnar anionic electron density within the prototype electride Y<sub>5</sub>Si<sub>3</sub> with sub-angstrom spatial resolution using differential phase-contrast imaging in a scanning transmission electron microscope. The data further reveal an unexpected charge variation at different anionic sites. Density functional theory simulations show that the presence of trace H impurities is the cause of this inhomogeneity. The visualization and quantification of charge inhomogeneities in crystals will serve as valuable input in future theoretical predictions and experimental analysis of exotic properties in electrides and materials beyond.",null,"American Association for the Advancement of Science ({AAAS})",2021-04-09,null,"Science Advances",7,15,eabe6819,eabe6819,null,true,null,scientific_journal,null,null,10.1126/sciadv.abe6819,null,2375-2548,https://syndication.highwire.org/content/doi/10.1126/sciadv.abe6819,null,false,disclosed
insert,merge,null,31994626,null,"Automated geometric aberration correction for large-angle illumination STEM",null,"[Ryo Ishikawa,Riku Tanaka,Shigeyuki Morishita,Yuji Kohno,Hidetaka Sawada,Takuya Sasaki,Masanari Ichikawa,Masashi Hasegawa,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,"Elsevier BV",2021-03-01,null,Ultramicroscopy,null,null,113215,113215,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2021.113215,0304-3991,null,null,null,false,disclosed
insert,merge,null,31281693,null,"Probing the meta-stability of oxide core/shell nanoparticle systems at atomic resolution",null,"[Manuel A. Roldan,Arnaud Mayence,Alberto López-Ortega,Ryo Ishikawa,Juan Salafranca,Marta Estrader,German Salazar-Alvarez,M. Dolors Baró,Josep Nogués,Stephen J. Pennycook,Maria Varela]",null,null,null,null,"Elsevier {BV}",2021-02-01,null,"Chemical Engineering Journal",405,null,126820,126820,null,null,null,scientific_journal,null,null,10.1016/j.cej.2020.126820,1385-8947,null,null,null,false,disclosed
insert,merge,null,31281692,null,"Room temperature fluoride ion conductivity in defective β-KSb<sub>1-δ</sub>F<sub>4-3δ</sub> polycrystals",null,"[Kawahara\, K.,Ishikawa\, R.,Nakayama\, K.,Shibata\, N.,Ikuhara\, Y.]",null,null,null,null,"Elsevier {BV}",2021-01-01,null,"Journal of Power Sources",483,null,229173,229173,null,true,null,scientific_journal,null,null,10.1016/j.jpowsour.2020.229173,0378-7753,null,http://www.scopus.com/inward/record.url?eid=2-s2.0-85096168066&partnerID=MN8TOARS,null,false,disclosed
insert,merge,null,31281392,null,"Atomic structures of Ti‐doped α‐Al 2 O 3 Σ13 grain boundary with a small amount of Si impurity",null,"[Saki Ishihara,Eita Tochigi,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",null,null,"Doping is a fundamental technique to control sintering of alpha-Al2O3, and many types of elements have been used to control grain growth and material properties. Such dopants tend to be concentrated at the grain boundaries and modify grain boundary properties. It is therefore important to investigate the variation of grain boundary atomic structures induced by additives. However, in the sintering process it is difficult to prevent small amounts of unintentional impurity (such as Si), and the potential influence of additives and impurities on the grain boundary structure should be taken into account. Here we show that two types of grain boundary atomic structures are formed in a Ti-doped sigma 13 [12 over bar 10]/(101 over bar 4) alpha-Al2O3, which has been determined by atomic-resolution scanning transmission electron microscopy. Combining with atomic-scale spectroscopic analyses, we elucidate that the local concentration of Si impurities significantly alters the grain boundary atomic structures and the valence state of Ti additives. The present results suggest that the subtle change in concentrations of both additives and impurity should have a strong impact on sintering processes and resultant properties in alpha-Al2O3.",null,Wiley,2020-12,null,"Journal of the American Ceramic Society",103,12,6659,6665,eng,true,null,scientific_journal,null,null,10.1111/jace.17441,0002-7820,1551-2916,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jace.17441,https://onlinelibrary.wiley.com/doi/full-xml/10.1111/jace.17441,false,disclosed
insert,merge,null,29540041,null,"Stabilization of a honeycomb lattice of IrO6 octahedra by formation of ilmenite-type superlattices in MnTiO3",null,"[Kei Miura,Kohei Fujiwara,Kei Nakayama,Ryo Ishikawa,Naoya Shibata,Atsushi Tsukazaki]",null,null,"<title>Abstract</title>In quantum spin liquid research, thin films are an attractive arena that enables the control of magnetic interactions via epitaxial strain and two-dimensionality, which are absent in bulk crystals. Here, as a promising candidate for the development of quantum spin liquids in thin films, we propose a robust ilmenite-type oxide with a honeycomb lattice of edge-sharing IrO<sub>6</sub> octahedra artificially stabilised by superlattice formation using the ilmenite-type antiferromagnetic oxide MnTiO<sub>3</sub>. Stabilised sub-unit-cell-thick Mn–Ir–O layers are isostructural to MnTiO<sub>3</sub> and have an atomic arrangement corresponding to ilmenite-type MnIrO<sub>3</sub>. By performing spin Hall magnetoresistance measurements, we observe that antiferromagnetic ordering in the ilmenite Mn sublattice is suppressed by modified magnetic interactions in the MnO<sub>6</sub> planes via the IrO<sub>6</sub> planes. These findings contribute to the development of two-dimensional Kitaev candidate materials, accelerating the discovery of exotic physics and applications specific to quantum spin liquids.",null,"Springer Science and Business Media LLC",2020-12,null,"Communications Materials",1,1,null,null,null,true,false,scientific_journal,null,null,10.1038/s43246-020-00059-1,null,2662-4443,http://www.nature.com/articles/s43246-020-00059-1.pdf,http://www.nature.com/articles/s43246-020-00059-1,false,disclosed
insert,merge,null,34397030,null,"Ultrafast Encapsulation of Metal Nanoclusters into MFI Zeolite in the Course of Its Crystallization: Catalytic Application for Propane Dehydrogenation",null,"[Jie Zhu,Ryota Osuga,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Junko N. Kondo,Masaru Ogura,Jihong Yu,Toru Wakihara,Zhendong Liu,Tatsuya Okubo]",null,null,"Encapsulating metal nanoclusters into zeolites combines the superior catalytic activity of the nanoclusters with high stability and unique shape selectivity of the crystalline microporous materials. The preparation of such bifunctional catalysts, however, is often restricted by the mismatching in time scale between the fast formation of nanoclusters and the slow crystallization of zeolites. We herein demonstrate a novel strategy to overcome the mismatching issue, in which the crystallization of zeolites is expedited so as to synchronize it with the rapid formation of nanoclusters. The concept was demonstrated by confining Pt and Sn nanoclusters into a ZSM-5 (MFI) zeolite in the course of its crystallization, leading to an ultrafast, in situ encapsulation within just 5 min. The Pt/Sn-ZSM-5 exhibited exceptional activity and selectivity with stability in the dehydrogenation of propane to propene. This method of ultrafast encapsulation opens up a new avenue for designing and synthesizing composite zeolitic materials with structural and compositional complexity.",null,"WILEY-V C H VERLAG GMBH",2020-10,null,"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",59,44,19669,19674,eng,true,true,scientific_journal,null,null,10.1002/anie.202007044,1433-7851,1521-3773,null,null,false,disclosed
insert,merge,null,31281691,null,"Improving the depth resolution of STEM-ADF sectioning by 3D deconvolution",null,"[A Ishizuka,K Ishizuka,R Ishikawa,N Shibata,Y Ikuhara,H Hashiguchi,R Sagawa]",null,null,"<title>Abstract</title>
 Although the possibility of locating single atom in three dimensions using the scanning transmission electron microscope (STEM) has been discussed with the advent of aberration correction technology, it is still a big challenge. In this report we have developed deconvolution routines based on maximum entropy method (MEM) and Richardson–Lucy algorithm (RLA), which are applicable to the STEM-annular dark-field (ADF) though-focus images to improve the depth resolution. The new three-dimensional (3D) deconvolution routines require a limited defocus-range of STEM-ADF images that covers a whole sample and some vacuum regions. Since the STEM-ADF probe is infinitely elongated along the optical axis, a 3D convolution is performed with a two-dimensional (2D) convolution over xy-plane using the 2D fast Fourier transform in reciprocal space, and a one-dimensional convolution along the z-direction in real space.


 Using our new deconvolution routines, we have processed simulated focal series of STEM-ADF images for single Ce dopants embedded in wurtzite-type AlN. Applying the MEM, the Ce peaks are clearly localized along the depth, and the peak width is reduced down to almost one half. We also applied the new deconvolution routines to experimental focal series of STEM-ADF images of a monolayer graphene. The RLA gives smooth and high-P/B ratio scattering distribution, and the graphene layer can be easily detected. Using our deconvolution algorithms, we can determine the depth locations of the heavy dopants and the graphene layer within the precision of 0.1 and 0.2 nm, respectively. Thus, the deconvolution must be extremely useful for the optical sectioning with 3D STEM-ADF images.",null,"Oxford University Press ({OUP})",2020-10,null,Microscopy,70,2,241,249,null,true,null,scientific_journal,null,null,10.1093/jmicro/dfaa056,2050-5698,2050-5701,http://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfaa056/33876754/dfaa056.pdf,http://academic.oup.com/jmicro/article-pdf/70/2/241/36683262/dfaa056.pdf,false,disclosed
insert,merge,null,31281391,null,"Dislocation and oxygen-release driven delithiation in Li<sub>2</sub>MnO<sub>3</sub>",null,"[Nakayama\, K.,Ishikawa\, R.,Kobayashi\, S.,Shibata\, N.,Ikuhara\, Y.]",null,null,"<title>Abstract</title>Lithium-excess layered cathode materials such as Li<sub>2</sub>MnO<sub>3</sub> have attracted much attention owing to their high energy densities. It has been proposed that oxygen-release and cation-mixing might be induced by delithiation. However, it is still unclear as to how the delithiated-region grows. Here, by using atomic-resolution scanning transmission electron microscopy combined with electron energy-loss spectroscopy, we directly observe the atomic structures at the interface between pristine and delithiated regions in the partially delithiated Li<sub>2</sub>MnO<sub>3</sub> single crystal. We elucidate that the delithiated regions have extensive amounts of irreversible defects such as oxygen-release and Mn/Li cation-mixing. At the interface, a partially cation disordered structure is formed, where Mn migration occurred only in the specific Mn/Li layers. Besides, a number of dislocations are formed at the interface to compensate the lattice mismatch between the pristine and delithiated regions. The observed oxygen-release and dislocations could govern the growth of delithiated-regions and performance degradation in Li<sub>2</sub>MnO<sub>3</sub>.",null,"Springer Science and Business Media LLC",2020-09-08,null,"Nature Communications",11,1,null,null,null,true,null,scientific_journal,null,null,10.1038/s41467-020-18285-z,2041-1723,2041-1723,https://www.nature.com/articles/s41467-020-18285-z.pdf,https://www.nature.com/articles/s41467-020-18285-z,false,disclosed
insert,merge,null,31281388,null,"Synthesis of Novel Melilite-Type Iron/Cobalt Oxides and Their Oxygen Evolution Reaction Electrocatalytic Activity",null,"[Satoshi Ogawa,Yasuyo Ogino,Masao Yonemura,Toshiharu Fukunaga,Hisao Kiuchi,Kei Nakayama,Ryo Ishikawa,Yuichi Ikuhara,Yoshihiro Doi,Kenta Suzuki,Miwa Saito,Teruki Motohashi]",null,null,null,null,"American Chemical Society ({ACS})",2020-08-25,null,"Chemistry of Materials",32,16,6847,6854,null,true,null,scientific_journal,null,null,10.1021/acs.chemmater.0c01010,0897-4756,1520-5002,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.0c01010,null,false,disclosed
insert,merge,null,34701650,null,"Phase-Contrast-Based Structure Retrieval Methods in Atomic Resolution Scanning Transmission Electron Microscopy – When They Hold and When They Don't",null,"[Scott Findlay,Leslie Allen,Hamish Brown,Zhen Chen,Jim Ciston,Yuichi Ikuhara,Ryo Ishikawa,Colin Ophus,Gabriel Sánchez-Santolino,Takehito Seki,Naoya Shibata,Matthew Weyland]",null,null,null,null,"Cambridge University Press (CUP)",2020-08,null,"Microscopy and Microanalysis",26,S2,442,443,null,null,null,scientific_journal,null,null,10.1017/s1431927620014683,1431-9276,1435-8115,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927620014683,null,false,disclosed
insert,merge,null,31281755,null,"Ultrafast Encapsulation of Metal Nanoclusters into MFI Zeolite in the Course of Its Crystallization: Catalytic Application for Propane Dehydrogenation",null,"[Jie Zhu,Ryota Osuga,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Junko N. Kondo,Masaru Ogura,Jihong Yu,Toru Wakihara,Zhendong Liu,Tatsuya Okubo]",null,null,null,null,Wiley,2020-08,null,"Angewandte Chemie",132,44,19837,19842,eng,true,null,scientific_journal,null,null,10.1002/ange.202007044,0044-8249,1521-3757,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ange.202007044,https://onlinelibrary.wiley.com/doi/full-xml/10.1002/ange.202007044,false,disclosed
insert,merge,null,31281389,null,"Reversible Electrochemical Insertion/Extraction of Magnesium Ion into/from Robust NASICON-Type Crystal Lattice in a Mg(BF4)2-Based Electrolyte",null,"[George Hasegawa,Yuto Akiyama,Moeko Tanaka,Ryo Ishikawa,Hirofumi Akamatsu,Yuichi Ikuhara,Katsuro Hayashi]",null,null,"Reliable electrochemical investigations of electrode materials are indispensable for the development of next-generation energy storage devices. In the case of multivalent cation-based electrochemistry, intense attention should be paid to the cell configuration for obtaining reliable data. In particular, the electrolyte and reference electrode must be appropriately selected considering the potential window of electrolyte and the validity of reference. Here, we demonstrate the detailed electrochemical examination for the Mg2+-storage capability of the NASICON-type framework derived from Na3V2(PO4)(3) (NVP). A combination of the Mg(BF4)(2)-based electrolyte with high anodic stability and the reliable Ag pseudo-reference electrode offers decent electrochemical test results. Despite suffering from the polarization concerning magnesiation, the desodiated NVP electrode can deliver a well-defined discharge plateau at similar to 2.7 V (vs Mg2+/Mg) with the reversible capacity of >100 mAh g(-1) at room temperature. The impedance analysis results indicate that the increased charge transfer resistance on discharging due to the high energy barrier for desolvation of divalent cations is responsible for the large polarization but not extremely significant, allowing for the room-temperature operation. The findings obtained herein also highlight the importance of the structural robustness of host lattice, which is required to withstand the strong amorphization during Na+ extraction and Mg2+ insertion/extraction.",null,"American Chemical Society (ACS)",2020-07-27,null,"ACS Applied Energy Materials",3,7,6824,6833,eng,true,null,scientific_journal,null,null,10.1021/acsaem.0c00943,2574-0962,2574-0962,https://pubs.acs.org/doi/pdf/10.1021/acsaem.0c00943,null,false,disclosed
insert,merge,null,31281387,null,"First-principles calculations of group IIA and group IV impurities in α−Al2O3",null,"[Toshihiro Futazuka,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara]",[corresponding],null,null,null,"American Physical Society (APS)",2020-07-06,null,"Physical Review Materials",4,7,null,null,eng,true,null,scientific_journal,null,null,10.1103/PhysRevMaterials.4.073602,null,2475-9953,https://link.aps.org/article/10.1103/PhysRevMaterials.4.073602,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevMaterials.4.073602/fulltext,false,disclosed
insert,merge,null,26256011,null,"High spatiotemporal-resolution imaging in the scanning transmission electron microscope.",null,"[Ryo Ishikawa,Yu Jimbo,Mitsuhisa Terao,Masashi Nishikawa,Yujiro Ueno,Shigeyuki Morishita,Masaki Mukai,Naoya Shibata,Yuichi Ikuhara]","[lead,corresponding]",null,"The temporal resolution in scanning transmission electron microscopy (STEM) is limited by scanning system of an electron probe, leading to only a few frames per second (fps) at most in the current microscopes. This situation enforces us to stay atomic-resolution STEM imaging and spectroscopy in the state of static observations. To push the boundary of atomic-resolution STEM imaging into dynamic observations, an unprecedentedly faster scanning system combined with fast electron detection systems should be prerequisite. Here we develop a new scanning probe system with the acquisition time of 83 nanoseconds per pixel and the fly-back time of 35 microseconds, leading to 25 fps STEM imaging with the image size of 512 × 512 pixels that is faster than a human perception speed. Using such high-speed probe scanning system, we have demonstrated the observations of shape-transformation of Pt nanoparticle and Pt single atomic motions on TiO2 (110) surface at atomic-resolution with the temporal resolution of 40 milliseconds. The present probe scanning system opens the door to use atomic-resolution STEM imaging for in-situ observation of materials dynamics under the temperatures of cooling or heating, the atmosphere of liquid or gas, electric-basing or mechanical test.",null,null,2020-04-03,null,"Microscopy (Oxford, England)",null,null,null,null,eng,true,false,null,true,null,10.1093/jmicro/dfaa017,null,null,null,null,false,disclosed
insert,merge,null,31281390,null,"Discovery of Ternary Silicon Titanium Nitride with Spinel-Type Structure",null,"[Shrikant Bhat,Abhijeet Lale,Samuel Bernard,Wei Zhang,Ryo Ishikawa,Shariq Haseen,Peter Kroll,Leonore Wiehl,Robert Farla,Tomoo Katsura,Yuichi Ikuhara,Ralf Riedel]",null,null,"<title>Abstract</title>Here we report on the discovery of a ternary silicon titanium nitride with the general composition (Si<sub>1−x</sub>,Ti<sub>x</sub>)<sub>3</sub>N<sub>4</sub> with x = 0 &lt; x &lt; 1 and spinel-type crystal structure. The novel nitride is formed from an amorphous silicon titanium nitride (SiTiN) precursor under high-pressure/high-temperature conditions in a large volume high-pressure device. Under the conditions of 15–20 GPa and 1800–2000 °C, spinel-type γ-Si<sub>3</sub>N<sub>4</sub> and rock salt-type c-TiN are formed. In addition, crystals of the discovered nano-sized ternary phase (Si<sub>1−x</sub>,Ti<sub>x</sub>)<sub>3</sub>N<sub>4</sub> embedded in γ-Si<sub>3</sub>N<sub>4</sub> are identified. The ternary compound is formed due to kinetically-controlled synthesis conditions and is analyzed to exhibit the spinel-type structure with ca. 8 atom% of Ti. The Ti atoms occur in both Ti<sup>3+</sup> and Ti<sup>4+</sup> oxidation states and are located on the Si sites. The ternary nano-crystals have to be described as (Si,Ti)<sub>3</sub>N<sub>4</sub> with N-vacancies resulting in the general composition (Si<sup>4+</sup><sub>1−x</sub> Ti<sup>4+</sup><sub>x-δ</sub>Ti<sup>3+</sup><sub>δ</sub>)<sub>3</sub>N<sub>4-δ</sub>.",null,"Springer Science and Business Media {LLC}",2020-04,null,"Scientific Reports",10,1,null,null,null,true,null,scientific_journal,null,null,10.1038/s41598-020-64101-5,2045-2322,2045-2322,http://www.nature.com/articles/s41598-020-64101-5.pdf,http://www.nature.com/articles/s41598-020-64101-5,false,disclosed
insert,merge,null,31281386,null,"Three-Dimensional Imaging of a Single Dopant in a Crystal",null,"[Ryo Ishikawa,Naoya Shibata,Takashi Taniguchi,Yuichi Ikuhara]","[lead,corresponding]",null,null,null,"American Physical Society (APS)",2020-03-26,null,"Physical Review Applied",13,3,null,null,eng,true,null,scientific_journal,null,null,10.1103/PhysRevApplied.13.034064,null,2331-7019,https://link.aps.org/article/10.1103/PhysRevApplied.13.034064,http://harvest.aps.org/v2/journals/articles/10.1103/PhysRevApplied.13.034064/fulltext,false,disclosed
insert,merge,null,26256015,null,"Direct Measurement of Electronic Band Structures at Oxide Grain Boundaries.",null,"[Jiake Wei,Takafumi Ogawa,Bin Feng,Tatsuya Yokoi,Ryo Ishikawa,Akihide Kuwabara,Katsuyuki Matsunaga,Naoya Shibata,Yuichi Ikuhara]",null,null,"Grain boundaries (GBs) modulate the macroscopic properties in polycrystalline materials because they have different atomic and electronic structures from the bulk. Despite the progress on the understanding of GB atomic structures, knowledge of the localized electronic band structures is still lacking. Here, we experimentally characterized the atomic structures and the band gaps of four typical GBs in α-Al2O3 by scanning transmission electron microscopy and valence electron energy-loss spectroscopy (EELS). It was found that the band gaps of the GBs are narrowed by 0.5-2.1 eV compared with that of 8.8 eV in the bulk. By combing core-loss EELS with first-principles calculations, we elucidated that the band gap reductions directly correlate with the decrease of the coordination numbers of Al and O ions at the GBs. These results provide in-depth understanding between the local atomic and electronic band structures for GBs and demonstrate a novel electronic-structure analysis for crystalline defects.",null,null,2020-03-05,null,"Nano letters",null,null,null,null,eng,true,false,null,true,null,10.1021/acs.nanolett.9b05298,null,null,null,null,false,disclosed
insert,merge,null,26902638,null,"Phase relation between supercooled liquid and amorphous silicon",null,"[Junpei T. Okada,Patrick H.L. Sit,Ryo Ishikawa,Takehiko Ishikawa,Jinfan Chen,Koji S. Nakayama,Kensaku Maeda,Yoshihiko Yokoyama,Yuki Watanabe,Paul François Paradis,Yasuhiro Watanabe,Susumu Nanao,Yuichi Ikuhara,Kaoru Kimura,Satoshi Uda]",null,null,"© 2020 Author(s). The phase relation between supercooled liquid silicon (l-Si) and amorphous silicon (a-Si) is discussed based on experimental results. Electrostatically levitated l-Si samples were supercooled down to low temperatures, 300 K below the melting temperature (Tcl: 1683 K), and solidified accompanied by the release of latent heat. It was found that solidified Si samples melted again at 1480 K caused by the latent heat. Also, it was found that the Si samples that rapidly quenched near the solidification temperature contained a large amount of a-Si with tetrahedral coordination. These two findings show that the supercooled l-Si samples solidified into a-Si and a-Si melted, confirming the idea of a first-order phase transition between two metastable phases proposed by Turnbull et al. [Metall. Mater. Trans. A 29, 1825 (1998)].",null,null,2020-03-02,null,"Applied Physics Letters",116,9,null,null,null,true,false,scientific_journal,null,null,10.1063/1.5129059,0003-6951,null,null,null,false,disclosed
